t_s,M,power_w,V_load_worst,V_load_avg
0.551998,9,126.228,0.916120,0.932034
0.553161,9,122.944,0.931712,0.936476
0.554262,9,125.622,0.911455,0.931552
0.555307,9,124.952,0.914017,0.934201
0.561845,9,125.687,0.912997,0.932990
0.561866,9,125.334,0.937308,0.937308
0.561880,9,125.865,0.935581,0.935581
0.561888,9,122.589,0.937567,0.937567
0.561897,9,119.911,0.938063,0.938063
0.561904,9,126.901,0.928195,0.928195
0.561999,9,126.192,0.911979,0.931861
0.563001,9,125.718,0.904118,0.932898
0.564002,9,125.368,0.922406,0.933365
0.565001,9,125.002,0.924037,0.933338
0.566001,9,125.333,0.920816,0.933659
0.567002,10,128.462,0.894931,0.927129
0.568002,10,133.815,0.915773,0.929395
0.569002,10,132.732,0.917904,0.929379
0.570001,10,132.770,0.909172,0.928678
0.582526,10,133.195,0.912952,0.928983
0.582549,10,137.679,0.919773,0.919773
0.582563,10,136.354,0.926370,0.926370
0.582572,10,131.848,0.932906,0.932906
0.582581,10,133.939,0.932930,0.932930
0.582589,10,129.356,0.933409,0.933409
0.582597,10,132.781,0.933449,0.933449
0.582604,10,130.565,0.933703,0.933703
0.582611,10,133.819,0.929712,0.929712
0.582618,10,132.173,0.933647,0.933647
0.582626,10,131.884,0.933729,0.933729
0.582633,10,131.843,0.933799,0.933799
0.582997,10,134.389,0.902294,0.927570
0.583998,10,134.032,0.902877,0.929059
0.588293,10,134.377,0.908681,0.927845
0.588317,10,132.494,0.932349,0.932349
0.588331,10,135.844,0.930585,0.930585
0.588340,10,138.199,0.923204,0.923204
0.588832,10,133.647,0.902950,0.929161
0.590489,10,134.005,0.907864,0.929407
0.591000,10,135.435,0.912500,0.927224
0.592721,10,135.940,0.931792,0.931792
0.593001,10,133.109,0.904681,0.929601
0.594943,10,133.148,0.896177,0.926602
0.595000,10,134.288,0.909524,0.927787
0.601895,10,134.187,0.900130,0.927698
0.601916,10,130.816,0.932618,0.932618
0.601929,10,133.121,0.932782,0.932782
0.601938,10,132.762,0.932949,0.932949
0.601947,10,134.265,0.932414,0.932414
0.601954,10,132.161,0.933130,0.933130
0.602000,10,131.778,0.910873,0.929603
0.603001,10,133.943,0.905757,0.928527
0.604001,10,134.152,0.911793,0.927294
0.605002,10,133.636,0.917604,0.929384
0.606002,10,134.079,0.908437,0.928307
0.607001,10,132.788,0.905613,0.928563
0.608002,10,133.083,0.898017,0.928693
0.609001,10,134.555,0.903529,0.926845
0.610001,10,133.369,0.909348,0.928695
0.622521,10,133.906,0.913022,0.928986
0.622544,10,132.497,0.933539,0.933539
0.622558,10,131.321,0.933699,0.933699
0.622567,10,131.692,0.933790,0.933790
0.622576,10,137.942,0.915784,0.915784
0.622584,10,137.795,0.919310,0.919310
0.622599,10,130.003,0.933248,0.933248
0.622606,10,128.543,0.933744,0.933744
0.622614,10,129.239,0.934072,0.934072
0.622621,10,135.132,0.923391,0.923391
0.622629,10,128.525,0.934143,0.934143
0.622635,10,135.273,0.922540,0.922540
0.622999,10,133.662,0.907136,0.928641
0.623996,10,133.684,0.904747,0.928553
0.627143,10,135.026,0.911008,0.927003
0.627165,10,135.860,0.928264,0.928264
0.627179,10,128.324,0.933265,0.933265
0.629361,10,133.757,0.901468,0.927504
0.629382,10,135.655,0.930601,0.930601
0.636388,11,134.293,0.907366,0.929062
0.636411,11,143.112,0.904726,0.904726
0.636424,11,142.056,0.912912,0.912912
0.636433,11,143.563,0.911209,0.911209
0.636442,11,140.152,0.925735,0.925735
0.636449,11,142.258,0.919704,0.919704
0.636457,11,139.958,0.929036,0.929036
0.637001,11,142.109,0.897909,0.923947
0.638001,11,141.203,0.905004,0.925221
0.639001,11,142.197,0.888846,0.923493
0.640001,11,140.955,0.911514,0.925378
0.641001,11,143.264,0.904481,0.922728
0.646731,11,140.840,0.910957,0.925424
0.646753,11,140.259,0.927824,0.927824
0.646773,11,142.829,0.919851,0.919851
0.646781,11,138.160,0.930065,0.930065
0.646790,11,145.484,0.911760,0.911760
0.647000,11,140.799,0.909436,0.925070
0.649257,11,142.584,0.897920,0.924029
0.649282,11,141.306,0.928970,0.928970
0.651442,11,142.092,0.907029,0.924091
0.651461,11,141.915,0.927318,0.927318
0.661673,11,141.747,0.905210,0.923767
0.661696,11,137.888,0.929500,0.929500
0.661710,11,140.736,0.929526,0.929526
0.661719,11,142.352,0.924948,0.924948
0.661728,11,139.098,0.929599,0.929599
0.661736,11,138.041,0.929875,0.929875
