t_s,M,power_w,V_load_worst,V_load_avg
0.425314,7,114.013,0.942154,0.942154
0.425328,7,111.677,0.943324,0.943324
0.425337,7,112.123,0.943447,0.943447
0.425346,7,114.307,0.939529,0.939529
0.425354,7,115.586,0.936025,0.936025
0.425362,7,115.434,0.937756,0.937756
0.425369,7,115.997,0.936825,0.936825
0.425377,7,114.680,0.942156,0.942156
0.425384,7,113.506,0.942836,0.942836
0.425392,7,114.851,0.941131,0.941131
0.425399,7,109.725,0.943254,0.943254
0.425407,7,111.812,0.943422,0.943422
0.425997,7,114.086,0.915634,0.939396
0.426996,7,113.638,0.922670,0.939755
0.428001,7,113.735,0.926074,0.939508
0.429001,7,114.277,0.929856,0.939052
0.430002,7,113.408,0.923821,0.940510
0.431001,7,113.351,0.923254,0.939519
0.444330,8,114.780,0.922217,0.938441
0.444353,8,125.754,0.907347,0.907347
0.444366,8,124.596,0.917079,0.917079
0.444375,8,123.384,0.925157,0.925157
0.444385,8,125.099,0.922194,0.922194
0.444392,8,120.291,0.939700,0.939700
0.444401,8,122.386,0.933878,0.933878
0.444408,8,122.946,0.933038,0.933038
0.444416,8,121.103,0.939348,0.939348
0.444424,8,118.737,0.939604,0.939604
0.444432,8,122.822,0.932983,0.932983
0.444439,8,122.453,0.935307,0.935307
0.444447,8,117.053,0.939715,0.939715
0.445000,8,121.828,0.917327,0.935683
0.445997,8,122.250,0.917762,0.935660
0.447001,8,122.526,0.920843,0.935104
0.448001,8,122.949,0.923334,0.935035
0.449000,8,120.901,0.915828,0.936269
0.450001,8,121.822,0.922710,0.935037
0.458085,8,122.968,0.918391,0.934592
0.458108,8,122.995,0.938028,0.938028
0.458122,8,123.903,0.935160,0.935160
0.458131,8,119.067,0.938867,0.938867
0.458140,8,120.713,0.939022,0.939022
0.458147,8,123.945,0.932536,0.932536
0.458156,8,122.750,0.937529,0.937529
0.458164,8,124.640,0.931587,0.931587
0.459001,8,122.446,0.915307,0.935353
0.467265,8,122.664,0.923428,0.935507
0.467288,8,119.593,0.939332,0.939332
0.467301,8,121.657,0.938286,0.938286
0.467310,8,121.694,0.938341,0.938341
0.467320,8,126.520,0.922766,0.922766
0.467327,8,122.855,0.937513,0.937513
0.467336,8,122.448,0.938736,0.938736
0.467343,8,123.175,0.936627,0.936627
0.467998,8,121.955,0.919067,0.935621
0.469002,8,122.761,0.918752,0.935096
0.470001,8,122.476,0.923647,0.936468
0.471001,8,122.577,0.917181,0.934647
0.472002,8,122.399,0.920886,0.935559
0.485268,8,122.147,0.930407,0.936060
0.485291,8,120.753,0.939062,0.939062
0.485306,8,122.270,0.937778,0.937778
0.485322,8,120.305,0.939188,0.939188
0.485332,8,126.097,0.924604,0.924604
0.485340,8,118.759,0.939116,0.939116
0.485348,8,123.734,0.932702,0.932702
0.485355,8,128.633,0.917816,0.917816
0.485363,8,117.178,0.938900,0.938900
0.485374,8,118.937,0.939226,0.939226
0.485383,8,125.994,0.924726,0.924726
0.485390,8,120.567,0.938969,0.938969
0.485398,8,126.239,0.925349,0.925349
0.485998,8,122.032,0.914424,0.935942
0.487000,8,122.460,0.915361,0.934937
0.488001,8,122.043,0.927179,0.935295
0.489001,8,122.301,0.922341,0.935042
0.490001,8,122.168,0.918072,0.935673
0.491001,8,122.224,0.926829,0.935771
0.498133,8,122.276,0.924978,0.936283
0.498154,8,129.587,0.913271,0.913271
0.498167,8,122.472,0.938460,0.938460
0.498176,8,118.078,0.938961,0.938961
0.498185,8,127.135,0.922474,0.922474
0.498192,8,121.394,0.938625,0.938625
0.498200,8,127.153,0.924272,0.924272
0.498996,8,122.627,0.920674,0.935512
0.500001,9,122.516,0.916916,0.935513
0.501001,9,129.353,0.903804,0.927984
0.502001,9,130.516,0.919103,0.929581
0.509271,9,131.114,0.923208,0.931352
0.509294,9,129.890,0.934675,0.934675
0.509308,9,127.608,0.934979,0.934979
0.509317,9,127.445,0.935239,0.935239
0.509326,9,131.298,0.929449,0.929449
0.509334,9,135.941,0.915289,0.915289
0.509342,9,130.289,0.934535,0.934535
0.509995,9,130.333,0.909355,0.931503
0.511001,9,129.829,0.905624,0.931991
0.512205,9,130.888,0.924205,0.932478
0.513022,9,130.942,0.920451,0.931528
0.525283,9,131.110,0.909803,0.930301
0.525306,9,133.084,0.928432,0.928432
0.525321,9,132.327,0.931905,0.931905
0.525329,9,127.969,0.934496,0.934496
0.525339,9,126.315,0.934965,0.934965
0.525347,9,127.383,0.935234,0.935234
0.525355,9,126.981,0.935489,0.935489
0.525363,9,132.747,0.923343,0.923343
0.525371,9,131.049,0.930936,0.930936
0.525379,9,131.164,0.931268,0.931268
0.525387,9,129.522,0.934947,0.934947
0.525394,9,125.818,0.935376,0.935376
0.525996,9,130.167,0.911205,0.931142
0.527002,9,130.764,0.908290,0.930642
0.528002,9,130.992,0.918590,0.930953
0.529001,9,130.731,0.922450,0.930695
0.530001,9,130.371,0.913311,0.931432
0.531001,9,131.114,0.908011,0.929990
0.538211,9,129.936,0.925595,0.932293
0.538234,9,132.606,0.925933,0.925933
0.538247,9,129.240,0.934934,0.934934
0.538255,9,126.760,0.935271,0.935271
0.538264,9,128.750,0.935342,0.935342
0.538272,9,126.098,0.935664,0.935664
0.538280,9,129.752,0.932146,0.932146
